Month,Forecast,Lower_95CI,Upper_95CI
2025-10,70647.94034001503,-50070.617074937836,191366.4977549679
2025-11,71641.25753416574,-62119.15164753575,205401.66671586724
2025-12,143272.258842506,-2787.7643246401276,289332.2820096521
2026-01,64484.643804885025,-86169.37518567078,215138.66279544082
2026-02,63600.34463209451,-91783.59931577412,218984.28857996315
2026-03,67077.27803063592,-91276.92915673564,225431.48521800747
2026-04,48717.45207831866,-112676.86612405776,210111.77028069508
2026-05,53866.978725624715,-110036.30535624706,217770.26280749647
2026-06,56017.58027560833,-110411.31826284937,222446.47881406604
2026-07,51236.66920473522,-117527.07375851384,220000.4121679843
2026-08,49874.95050384512,-121214.79514243972,220964.69615012995
2026-09,58873.30370288779,-114460.03910504514,232206.64651082072
